date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:34:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2011%20Sep%202021%2002:34:15%20GMT	https://voices.uchicago.edu/ignite	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/ignite.0.delayed	(from )
22:34:17	52200/52200	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2011%20Sep%202021%2002:34:16%20GMT	https://voices.uchicago.edu/ignite/	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/index.html	(from )
22:34:17	150/150	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2011%20Sep%202021%2002:34:16%20GMT	https://voices.uchicago.edu/ignite/xmlrpc.php	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/xmlrpc.php	(from https://voices.uchicago.edu/ignite/)
22:34:17	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	etag:%22b0455945b2e7fa9251d6f55c6d4dfafd:1581601878%22	https://cloud.typography.com/6526092/7294572/css/fonts.css	C:/My%20Web%20Sites/Ignite%20Website/cloud.typography.com/fonts.2.delayed	(from https://voices.uchicago.edu/ignite/)
22:34:18	269544/269544	U-----	200	untouched ('OK')	text/css	etag:W/%2289c133ff407ace1acd5eb9e5c3a41248%22	https://d3qi0qp55mx5f5.cloudfront.net/shared-resources/fonts/768728/98F132FDFDA33624C.css	C:/My%20Web%20Sites/Ignite%20Website/d3qi0qp55mx5f5.cloudfront.net/98f132fdfda33624c.css	(from https://voices.uchicago.edu/ignite/)
22:34:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2011%20Sep%202021%2002:34:17%20GMT	https://voices.uchicago.edu/ignite?load_frmpro_css=true&ver=4302332	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/ignite289d	(from https://voices.uchicago.edu/ignite/)
22:34:19	1252/1252	---MC-	200	added ('OK')	application/rss+xml	etag:%221e8359c4befada981688e2f2e2807544%22	https://voices.uchicago.edu/ignite/comments/feed/	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/index-3.html	(from https://voices.uchicago.edu/ignite/)
22:34:19	5773/5773	---MC-	200	added ('OK')	application/rss+xml	etag:%2260dc526eeae7b0f7635043461ad7fd99%22	https://voices.uchicago.edu/ignite/feed/	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/index-2.html	(from https://voices.uchicago.edu/ignite/)
22:34:19	110685/110685	U--MCZ	200	updated ('OK')	text/css	date:Sat,%2011%20Sep%202021%2002:34:18%20GMT	https://voices.uchicago.edu/ignite/?load_frmpro_css=true&ver=4302332	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/index289d.html	(from https://voices.uchicago.edu/ignite/)
22:34:19	58171/58171	U-----	200	untouched ('OK')	text/css	etag:W/%2260d28c0a-e33b%22	https://voices.uchicago.edu/ignite/wp-includes/css/dist/block-library/style.min.css?ver=5.7.2	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/style.min9f31.css	(from https://voices.uchicago.edu/ignite/)
22:34:19	791/791	---MC-	200	added ('OK')	application/rss+xml	etag:%221e8359c4befada981688e2f2e2807544%22	https://voices.uchicago.edu/ignite/sample-page/feed/	C:/My%20Web%20Sites/Ignite%20Website/voices.uchicago.edu/index-4.html	(from https://voices.uchicago.edu/ignite/)
